國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
100年 6月,3297046,18341,5914,1747,16139,40317,66519,179892,4551,3429,12713,90657,8877,21636,8799,395605,1932131,230311,115316,144153
100年 7月,3534706,15163,7236,1369,14474,53984,75683,183912,4679,3489,11383,92565,8333,23744,16792,390110,2167573,225077,99532,139609
100年 8月,3121922,18823,5428,1102,14026,2885,78866,180807,4485,4027,11670,89451,9129,22994,10798,443084,1717680,231505,121422,153743
100年 9月,2833399,12094,6710,1576,13869,37378,63980,154678,4350,3740,10282,83878,7349,20001,12452,359416,1587960,206474,112982,134231
100年 10月,3234335,14372,6475,1018,15881,49366,70905,170051,5304,4095,11005,72463,6976,23285,14155,391664,1882838,217222,111033,166227
100年 11月,2876102,15580,7792,1260,17604,22093,72273,177487,5262,3513,11727,74142,7533,20682,10898,397696,1554321,211449,106021,158769
100年 12月,2742217,11265,5086,959,16000,14114,73375,173516,5248,3342,10097,74938,7474,20227,10719,390992,1449235,221110,107534,146987
101年,33119861,155397,75486,17229,205733,293124,968751,2223233,63354,39145,160116,943647,86148,250737,118039,5005651,16608238,2815715,1254279,1835837
101年 1月,2474172,13444,5328,1698,14394,8698,73091,177816,5580,3551,9380,87055,6916,20939,7618,441004,1136245,223965,93082,144369
101年 2月,2342800,11361,6014,1241,14058,8880,101772,166560,3420,2197,9473,67255,5216,19244,7376,344604,1171842,193477,91791,117020
101年 3月,2739695,13135,5511,1707,17100,60164,91809,203919,4700,3211,12307,79388,7206,22147,9147,429142,1315013,222244,90274,151572
101年 4月,2709747,13164,5605,1226,16640,165,70561,207389,5580,3631,13846,76189,6837,19517,10943,438986,1340066,229364,102822,147216
101年 5月,3025167,15186,6848,1889,20569,10918,82863,208814,6027,3595,17641,87156,8462,23797,6613,473338,1514661,245421,119327,172043
101年 6月,2838847,12880,5979,1470,17505,19507,72805,184292,4918,3169,15004,83583,8565,23321,6625,418943,1483541,226441,100480,149818
101年 7月,2852123,15294,5893,1171,16543,5497,78646,183841,5793,3511,15944,82897,9160,21869,10178,405578,1478697,253566,106426,151618
101年 8月,2860350,14076,5961,1237,16533,42800,80760,183893,5593,3519,15061,86960,7921,22592,9477,435499,1426336,238141,110331,153660
101年 9月,2918800,13238,7311,1603,18024,83303,83313,171396,5013,3618,13720,80891,8814,21142,11365,426657,1423902,278950,107463,159075
101年 10月,2934879,13062,7848,1478,18714,5324,82740,192027,5975,3170,13553,74644,5528,19828,13998,431245,1498760,257694,116322,172968
101年 11月,2712645,9597,7116,1071,18456,44621,69604,162023,5501,3007,12197,63880,5184,18144,8709,359818,1437292,213543,105748,167131
101年 12月,2710637,10959,6072,1437,17197,3247,80786,181263,5254,2966,11988,73750,6337,18196,15990,400837,1381884,232911,110213,149348
102年,32630181,129658,82754,16190,224116,31818,929606,2274766,57964,40928,163468,905308,74446,265348,136150,4933847,16356427,2808336,1372396,1826654
102年 1月,2552153,12186,6130,1067,17302,2052,75508,192486,5454,2818,11745,82143,5708,22189,12754,417787,1197600,240340,93896,152986
102年 2月,2059502,6886,4462,1236,11761,11803,69029,147857,4155,2468,8960,55191,4588,17128,5792,321263,1013065,181631,79210,113016
102年 3月,2678750,9166,6852,1751,20327,1073,86297,198025,4463,3010,14076,70495,5271,21679,9683,417618,1301614,247100,118237,142013
102年 4月,2839661,8852,6821,970,18979,2285,71426,194790,5323,3795,14326,75095,5416,22021,8136,422049,1478838,229990,121751,148799
102年 5月,2987829,11239,6504,1921,23193,2395,82477,217212,5420,3694,17814,78401,8159,25460,8884,430191,1538776,241011,129685,155396
102年 6月,2749459,11229,6988,1599,20379,1388,86038,196032,5319,3669,16587,83881,6076,22772,12602,400653,1398335,214572,119458,141882
102年 7月,2864903,11286,7458,1152,19317,2275,82015,201885,6163,3572,16799,84216,7490,25185,13509,428626,1414707,254090,130687,154470
102年 8月,2887149,9594,7246,1258,18717,450,79794,188279,4140,3815,15921,80442,6862,25421,23260,428671,1491937,239325,116182,145836
102年 9月,2660556,10800,6133,1156,17220,2142,68158,175618,4048,3991,12077,77089,6013,20906,10656,393097,1351794,235271,112222,152163
102年 10月,2939014,14612,8286,1622,20277,3077,72940,197760,4545,3905,13137,74632,6345,23685,13587,445143,1480314,242683,126841,185623
102年 11月,2718116,12504,9031,708,18767,2405,77187,172977,4333,3364,11395,71053,5529,19212,11004,405700,1360132,236570,122059,174185
102年 12月,2693090,11305,6842,1750,17876,473,78739,191845,4600,2828,10631,72668,6990,19690,6284,423050,1329315,245753,102167,160283
103年,35033279,143873,94082,17906,231417,143774,1121797,2439664,58797,37138,165271,925965,87863,277978,151363,5717671,16860449,3038127,1516601,2003543
103年 1月,2668250,10475,6253,1066,16038,2144,83053,188981,5424,2927,12892,80109,6809,21651,8861,484921,1239868,227657,101213,167908
103年 2月,2164857,8626,6058,1366,13190,262,76953,160538,2780,1444,8787,60651,4396,17097,6767,345542,1049617,192835,92030,115918
103年 3月,2959959,9851,7653,2146,21409,4347,124561,211336,5300,3196,11756,72301,6186,22989,20854,445259,1445275,262895,123955,158690
103年 4月,3041795,10690,7265,1413,23065,41881,90641,218503,4820,2429,14832,74238,7012,22724,16225,476770,1493045,241077,122939,172226
103年 5月,3023713,12056,7202,951,21236,5233,121497,216025,5202,2926,15757,81224,7454,23448,8078,463121,1506557,240194,119355,166197
103年 6月,3082749,12920,9029,1180,21964,3765,85780,204600,6067,3215,17633,76573,7338,23687,11121,491108,1540782,264027,134024,167936
103年 7月,2941669,15461,8609,1738,20878,9022,83819,228407,5606,3364,16511,94798,9291,26668,9399,522561,1332898,266635,116957,169047
103年 8月,3033266,14867,8803,1858,17680,2365,93507,203905,5272,4060,15656,86451,9489,25445,17967,507205,1411433,288434,147831,171038
103年 9月,2909275,13190,7470,1413,15192,5786,87616,192418,4405,3433,12688,76183,8544,23266,10347,456525,1454892,249512,121380,165015
103年 10月,3078678,11702,8558,1099,20632,7082,99992,204240,4722,3340,12921,73651,7523,24673,11164,484927,1502424,267628,146111,186289
103年 11月,3038665,11565,9820,1645,20954,36606,83451,194825,4877,4038,12546,72740,6144,21636,10351,491348,1471598,259269,144060,181192
103年 12月,3090403,12470,7362,2031,19179,25281,90927,215886,4322,2766,13292,77046,7677,24694,20229,548384,1412060,277964,146746,182087
104年,34448479,144962,93123,16014,227776,172621,993592,2542347,60705,41667,181747,876561,98824,290734,129043,5359959,16597061,3159447,1367300,2094996
104年 1月,2892348,10627,7412,1179,17907,3889,99375,203008,5659,4596,13139,79078,6591,23984,10540,529004,1343201,244959,114154,174046
104年 2月,2495202,10971,5615,1464,13756,3704,75477,177513,4494,2642,12384,65896,4615,21307,9590,416362,1178994,225974,110953,153491
104年 3月,2967246,10543,8682,1113,19505,15262,97100,230114,3825,3177,12473,63363,6279,27447,24460,469634,1449484,248463,119568,156754
